language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
Ka-Gazli 1	kaz	one	1493	one	bɪr	A	Origin: Turkic
Ka-Gazli 1	kaz	two	1498	two	jekə	A	Origin: Turkic
Ka-Gazli 1	kaz	three	492	three	ʉʃʲ	A	Origin: Turkic
Ka-Gazli 1	kaz	four	1500	four	tørt	A	Origin: Turkic
Ka-Gazli 1	kaz	five	493	five	bʲɪs	A	Origin: Turkic
Ka-Gazli 1	kaz	big	1202	big	ʉlkɪn	A	Origin: Turkic
Ka-Gazli 1	kaz	long	1203	long	ɔzaq	A	Origin: Turkic
Ka-Gazli 1	kaz	wide	1243	wide	kʲeŋ	A	Origin: Turkic
Ka-Gazli 1	kaz	thick	1244	thick	ʒwɒn	A	Origin: Turkic
Ka-Gazli 2	kaz	one	1493	one	brɪw	A	Origin: Turkic
Ka-Gazli 2	kaz	two	1498	two	jekə	A	Origin: Turkic
Ka-Gazli 2	kaz	three	492	three	ʉʃʲ	A	Origin: Turkic
Ka-Gazli 2	kaz	four	1500	four	tørt	A	Origin: Turkic
Ka-Gazli 2	kaz	five	493	five	bʲɪs	A	Origin: Turkic
Ka-Gazli 2	kaz	big	1202	big	ʉlkɪn	A	Origin: Turkic
Ka-Gazli 2	kaz	long	1203	long	ʉzaq	A	Origin: Turkic
Ka-Gazli 2	kaz	wide	1243	wide	kʲiŋ	A	Origin: Turkic
Ka-Gazli 2	kaz	thick	1244	thick	ʒuwãn	A	Origin: Turkic
Ka-Gazli 3	kaz	one	1493	one	bɪrɪw	A	Origin: Turkic
Ka-Gazli 3	kaz	two	1498	two	jɪkjew	A	Origin: Turkic
Ka-Gazli 3	kaz	three	492	three	ʉʃʲjʊː	A	Origin: Turkic
Ka-Gazli 3	kaz	four	1500	four	twørt	A	Origin: Turkic
Ka-Gazli 3	kaz	five	493	five	bʲes	A	Origin: Turkic
Ka-Gazli 3	kaz	big	1202	big	ʉlken	A	Origin: Turkic
Ka-Gazli 3	kaz	long	1203	long	kwøwaxə	B	Origin: Turkic
Ka-Gazli 3	kaz	thick	1244	thick	sʲemɪz̥	B	Origin: Turkic
Ka-Gazli 4	kaz	two	1498	two	jɪkə	A	Origin: Turkic
Ka-Gazli 4	kaz	three	492	three	ʉʃ	A	Origin: Turkic
Ka-Gazli 4	kaz	four	1500	four	tʲørt	A	Origin: Turkic
Ka-Gazli 4	kaz	five	493	five	bʲɪs	A	Origin: Turkic
Ka-Gazli 4	kaz	big	1202	big	ʉlken	A	Origin: Turkic
Ka-Gazli 4	kaz	long	1203	long	ʉzaq	A	Origin: Turkic
Ka-Gazli 4	kaz	wide	1243	wide	jende	B	Origin: Turkic
Ka-Gazli 4	kaz	thick	1244	thick	sʲeməz̥	B	Origin: Turkic
Ka-Gazli 5	kaz	one	1493	one	brɪw	A	Origin: Turkic
Ka-Gazli 5	kaz	two	1498	two	jeka	A	Origin: Turkic
Ka-Gazli 5	kaz	three	492	three	ʉʃ	A	Origin: Turkic
Ka-Gazli 5	kaz	four	1500	four	tørt	A	Origin: Turkic
Ka-Gazli 5	kaz	five	493	five	bʲɪs	A	Origin: Turkic
Ka-Gazli 5	kaz	big	1202	big	ylken	A	Origin: Turkic
Ka-Gazli 5	kaz	long	1203	long	ɔzaq	A	Origin: Turkic
Ka-Gazli 5	kaz	wide	1243	wide	kʲeŋ	A	Origin: Turkic
